Date,H Date,Fajr Azan,Fajr Iqama,Shuruq,Zawal,Zohr Azan,Zohr Iqamah,Asr Azan,Asr Iqama,Maghrib Azan,Isah Azan,Isha Iqama,Jumah Khutbah,Jumah
Aug26,,04:10,05:00,06:31,01:30,01:37,02:00,05:27,06:00,08:41,10:02,10:10,01:40,02:00
Aug27,,04:13,05:15,06:33,01:30,01:37,02:00,05:26,05:30,08:39,10:00,10:10,01:40,02:00
Aug28,,04:16,05:15,06:35,01:30,01:36,02:00,05:24,05:30,08:37,09:59,10:10,01:40,02:00
Aug29,,04:19,05:15,06:36,01:30,01:36,02:00,05:23,05:30,08:34,09:58,10:10,01:40,02:00
Aug30,,04:22,05:15,06:38,01:30,01:36,02:00,05:22,05:30,08:32,09:57,10:00,01:40,02:00
Aug31,,04:25,05:15,06:40,01:30,01:35,02:00,05:20,05:30,08:30,09:55,10:00,01:40,02:00
Sep01,,04:28,05:15,06:42,01:30,01:35,02:00,05:19,05:30,08:27,09:54,10:00,01:40,02:00
Sep02,,04:30,05:15,06:43,01:30,01:35,02:00,05:17,05:30,08:25,09:53,10:00,01:40,02:00
Sep03,,04:33,05:15,06:45,01:30,01:34,02:00,05:16,05:30,08:23,09:52,10:00,01:40,02:00
Sep04,,04:36,05:15,06:47,01:30,01:34,02:00,05:14,05:30,08:20,09:50,10:00,01:40,02:00
Sep05,,04:38,05:15,06:48,01:30,01:34,02:00,05:12,05:30,08:18,09:49,10:00,01:40,02:00
Sep06,,04:41,05:30,06:50,01:30,01:33,02:00,05:11,05:30,08:15,09:48,10:00,01:40,02:00
Sep07,,04:43,05:30,06:52,01:30,01:33,02:00,05:09,05:30,08:13,09:47,10:00,01:40,02:00
Sep08,,04:46,05:30,06:54,01:30,01:33,02:00,05:08,05:30,08:10,09:45,09:45,01:40,02:00
Sep09,,04:48,05:30,06:55,01:30,01:32,02:00,05:06,05:30,08:08,09:44,09:45,01:40,02:00
Sep10,,04:51,05:15,06:57,01:30,01:32,02:00,05:04,05:30,08:05,09:43,09:45,01:40,02:00
Sep11,,04:53,05:15,06:59,01:30,01:31,02:00,05:03,05:30,08:03,09:41,09:45,01:40,02:00
Sep12,,04:56,05:15,07:01,01:30,01:31,02:00,05:01,05:30,08:01,09:40,09:45,01:40,02:00
Sep13,,04:58,05:45,07:02,01:30,01:31,02:00,04:59,05:30,07:58,09:39,09:45,01:40,02:00
Sep14,,05:00,05:45,07:04,01:30,01:30,02:00,04:58,05:30,07:56,09:38,09:45,01:40,02:00
Sep15,,05:03,05:45,07:06,01:30,01:30,02:00,04:56,05:30,07:53,09:36,09:45,01:40,02:00
Sep16,,05:05,05:45,07:08,01:30,01:30,02:00,04:54,05:30,07:51,09:35,09:45,01:40,02:00
Sep17,,05:07,06:00,07:09,01:30,01:29,02:00,04:53,05:00,07:48,09:34,09:45,01:40,02:00
Sep18,,05:09,06:00,07:11,01:30,01:29,02:00,04:51,05:00,07:46,09:33,09:45,01:40,02:00
Sep19,,05:11,06:00,07:13,01:30,01:28,02:00,04:49,05:00,07:43,09:31,09:45,01:40,02:00
Sep20,,05:14,06:00,07:14,01:30,01:28,02:00,04:47,05:00,07:41,09:30,09:45,01:40,02:00
Sep21,,05:16,06:00,07:16,01:30,01:28,02:00,04:46,05:00,07:38,09:30,09:30,01:40,02:00
Sep22,,05:18,06:00,07:18,01:30,01:27,02:00,04:44,05:00,07:36,09:27,09:30,01:40,02:00
Sep23,,05:20,06:00,07:20,01:30,01:27,02:00,04:42,05:00,07:33,09:25,09:30,01:40,02:00
Sep24,,05:22,06:00,07:21,01:30,01:27,02:00,04:40,05:00,07:31,09:22,09:30,01:40,02:00
Sep25,,05:24,06:00,07:23,01:30,01:26,02:00,04:39,05:00,07:28,09:19,09:30,01:40,02:00
Sep26,,05:26,06:00,07:25,01:30,01:26,02:00,04:37,05:00,07:26,09:16,09:30,01:40,02:00
Sep27,,05:28,06:00,07:27,01:30,01:26,02:00,04:35,05:00,07:23,09:14,09:15,01:40,02:00
Sep28,,05:30,06:00,07:29,01:30,01:25,02:00,04:33,05:00,07:21,09:11,09:15,01:40,02:00
Sep29,,05:32,06:00,07:30,01:30,01:25,02:00,04:31,05:00,07:19,09:08,09:15,01:40,02:00
Sep30,,05:34,06:30,07:32,01:30,01:25,02:00,04:30,05:00,07:16,09:06,09:15,01:40,02:00
Oct01,,05:36,06:30,07:34,01:30,01:24,02:00,04:28,05:00,07:14,09:03,09:15,01:40,02:00
Oct02,,05:38,06:30,07:36,01:30,01:24,02:00,04:26,05:00,07:11,09:00,09:00,01:40,02:00
Oct03,,05:40,06:30,07:37,01:30,01:24,02:00,04:24,04:30,07:09,08:58,09:00,01:40,02:00
Oct04,,05:42,06:30,07:39,01:30,01:23,02:00,04:22,04:30,07:06,08:55,09:00,01:40,02:00
Oct05,,05:44,06:30,07:41,01:30,01:23,02:00,04:21,04:30,07:04,08:53,09:00,01:40,02:00
Oct06,,05:46,06:30,07:43,01:30,01:23,02:00,04:19,04:30,07:02,08:50,09:00,01:40,02:00
Oct07,,05:48,06:30,07:45,01:30,01:22,02:00,04:17,04:30,06:59,08:48,09:00,01:40,02:00
Oct08,,05:50,06:30,07:47,01:30,01:22,02:00,04:15,04:30,06:57,08:45,08:45,01:40,02:00
Oct09,,05:52,06:30,07:48,01:30,01:22,02:00,04:13,04:30,06:54,08:43,08:45,01:40,02:00
Oct10,,05:54,06:30,07:50,01:30,01:22,02:00,04:12,04:30,06:52,08:41,08:45,01:40,02:00
Oct11,,05:56,06:30,07:52,01:30,01:21,02:00,04:10,04:30,06:50,08:38,08:45,01:40,02:00
Oct12,,05:58,06:30,07:54,01:30,01:21,02:00,04:08,04:30,06:47,08:36,08:45,01:40,02:00
Oct13,,05:59,06:30,07:56,01:30,01:21,02:00,04:06,04:30,06:45,08:34,08:45,01:40,02:00
Oct14,,06:01,06:30,07:58,01:30,01:21,02:00,04:04,04:30,06:43,08:31,08:45,01:40,02:00
Oct15,,06:03,06:30,08:00,01:30,01:21,02:00,04:03,04:30,06:41,08:29,08:30,01:40,02:00
Oct16,,06:05,06:30,08:01,01:30,01:20,02:00,04:01,04:30,06:38,08:27,08:30,01:40,02:00
Oct17,,06:07,06:30,08:03,01:30,01:20,02:00,03:59,04:00,06:36,08:25,08:30,01:40,02:00
Oct18,,06:09,06:45,08:05,01:30,01:20,02:00,03:58,04:00,06:34,08:23,08:30,01:40,02:00
Oct19,,06:10,06:45,08:07,01:30,01:20,02:00,03:56,04:00,06:32,08:20,08:30,01:40,02:00
Oct20,,06:12,06:45,08:09,01:30,01:20,02:00,03:54,04:00,06:29,08:18,08:30,01:40,02:00
Oct21,,06:14,06:45,08:11,01:30,01:20,02:00,03:52,04:00,06:27,08:16,08:30,01:40,02:00
Oct22,,06:16,06:45,08:13,01:30,01:19,02:00,03:51,04:00,06:25,08:14,08:30,01:40,02:00
Oct23,,06:18,06:45,08:15,01:30,01:19,02:00,03:49,04:00,06:23,08:12,08:30,01:40,02:00
Oct24,,06:19,06:45,08:17,01:30,01:19,02:00,03:47,04:00,06:21,08:10,08:30,01:40,02:00
Oct25,,06:21,06:45,08:19,01:30,01:19,02:00,03:46,04:00,06:19,08:08,08:30,01:40,02:00
Oct26,,06:23,06:45,08:21,01:30,01:19,02:00,03:44,04:00,06:17,08:06,08:30,01:40,02:00
Oct27,,06:25,06:45,08:23,01:30,01:19,02:00,03:43,04:00,06:14,08:05,08:30,01:40,02:00
Oct28,,06:27,06:45,08:25,01:30,01:19,02:00,03:41,04:00,06:12,08:03,08:30,01:40,02:00
Oct29,,06:28,06:45,08:26,01:30,01:19,02:00,03:39,04:00,06:10,08:01,08:30,01:40,02:00
Oct30,,06:30,06:45,08:28,01:30,01:19,02:00,03:38,04:00,06:08,07:59,08:30,01:40,02:00
Oct31,,06:32,06:45,08:30,01:30,01:19,02:00,03:36,04:00,06:06,07:57,08:30,01:40,02:00
Nov01,,05:33,05:45,07:32,12:30,12:19,01:00,02:35,03:00,05:05,06:56,07:30,12:40,01:00
Nov02,,05:35,05:45,07:34,12:30,12:19,01:00,02:33,03:00,05:03,06:54,07:30,12:40,01:00
Nov03,,05:37,05:45,07:36,12:30,12:19,01:00,02:32,03:00,05:01,06:52,07:30,12:40,01:00
Nov04,,05:39,06:30,07:38,12:30,12:19,01:00,02:30,02:45,04:59,06:51,07:00,12:40,01:00
Nov05,,05:40,06:30,07:40,12:30,12:19,01:00,02:29,02:45,04:57,06:49,07:00,12:40,01:00
Nov06,,05:42,06:30,07:42,12:30,12:19,01:00,02:28,02:45,04:55,06:48,07:00,12:40,01:00
Nov07,,05:44,06:30,07:44,12:30,12:19,01:00,02:26,02:45,04:53,06:46,07:00,12:40,01:00
Nov08,,05:45,06:30,07:46,12:30,12:19,01:00,02:25,02:45,04:52,06:45,07:00,12:40,01:00
Nov09,,05:47,06:30,07:48,12:30,12:20,01:00,02:24,02:45,04:50,06:43,07:00,12:40,01:00
Nov10,,05:49,06:30,07:50,12:30,12:20,01:00,02:22,02:45,04:48,06:42,07:00,12:40,01:00
Nov11,,05:50,06:30,07:52,12:30,12:20,01:00,02:21,02:45,04:47,06:41,07:00,12:40,01:00
Nov12,,05:52,06:30,07:54,12:30,12:20,01:00,02:20,02:45,04:45,06:39,07:00,12:40,01:00
Nov13,,05:53,06:30,07:56,12:30,12:20,01:00,02:19,02:45,04:43,06:38,07:00,12:40,01:00
Nov14,,05:55,06:30,07:58,12:30,12:20,01:00,02:18,02:45,04:42,06:37,07:00,12:40,01:00
Nov15,,05:57,06:30,08:00,12:30,12:20,01:00,02:16,02:45,04:40,06:36,07:00,12:40,01:00
Nov16,,05:58,06:30,08:01,12:30,12:21,01:00,02:15,02:30,04:39,06:33,07:00,12:40,01:00
Nov17,,06:00,06:30,08:03,12:30,12:21,01:00,02:14,02:30,04:37,06:33,07:00,12:40,01:00
Nov18,,06:01,06:30,08:05,12:30,12:21,01:00,02:13,02:30,04:36,06:32,07:00,12:40,01:00
Nov19,,06:03,06:30,08:07,12:30,12:21,01:00,02:12,02:30,04:35,06:31,07:00,12:40,01:00
Nov20,,06:04,06:30,08:09,12:30,12:22,01:00,02:11,02:30,04:33,06:30,07:00,12:40,01:00
Nov21,,06:06,06:30,08:11,12:30,12:22,01:00,02:10,02:30,04:32,06:29,07:00,12:40,01:00
Nov22,,06:07,06:30,08:12,12:30,12:22,01:00,02:10,02:30,04:31,06:29,07:00,12:40,01:00
Nov23,,06:08,06:30,08:14,12:30,12:22,01:00,02:09,02:30,04:30,06:28,07:00,12:40,01:00
Nov24,,06:10,06:30,08:16,12:30,12:23,01:00,02:08,02:30,04:29,06:27,07:00,12:40,01:00
Nov25,,06:11,06:30,08:18,12:30,12:23,01:00,02:07,02:30,04:28,06:26,07:00,12:40,01:00
Nov26,,06:13,06:30,08:19,12:30,12:23,01:00,02:06,02:30,04:27,06:25,07:00,12:40,01:00
Nov27,,06:14,06:30,08:21,12:30,12:24,01:00,02:06,02:30,04:26,06:25,07:00,12:40,01:00
Nov28,,06:15,06:30,08:23,12:30,12:24,01:00,02:05,02:30,04:25,06:24,07:00,12:40,01:00
Nov29,,06:16,06:30,08:24,12:30,12:24,01:00,02:05,02:30,04:24,06:24,07:00,12:40,01:00
Nov30,,06:18,06:38,08:26,12:30,12:25,12:35,02:04,02:14,04:23,06:23,07:00,12:30,01:00
Dec01,,06:19,06:39,08:27,12:30,12:25,12:35,02:03,02:13,04:22,06:23,07:00,12:30,01:00
Dec02,,06:20,06:40,08:29,12:30,12:26,12:36,02:03,02:13,04:21,06:22,07:00,12:30,01:00
Dec03,,06:21,06:41,08:30,12:30,12:26,12:36,02:03,02:13,04:21,06:22,07:00,12:30,01:00
Dec04,,06:22,06:42,08:32,12:30,12:26,12:36,02:02,02:12,04:20,06:21,07:00,12:30,01:00
Dec05,,06:24,06:44,08:33,12:30,12:27,12:37,02:02,02:12,04:20,06:21,07:00,12:30,01:00
Dec06,,06:25,06:45,08:34,12:30,12:27,12:37,02:02,02:12,04:19,06:21,07:00,12:30,01:00
Dec07,,06:26,06:46,08:36,12:30,12:28,12:38,02:01,02:11,04:19,06:21,07:00,12:30,01:00
Dec08,,06:27,06:47,08:37,12:30,12:28,12:38,02:01,02:11,04:18,06:20,07:00,12:30,01:00
Dec09,,06:28,06:48,08:38,12:30,12:28,12:38,02:01,02:11,04:18,06:20,07:00,12:30,01:00
Dec10,,06:29,06:49,08:39,12:30,12:29,12:39,02:01,02:11,04:18,06:20,07:00,12:30,01:00
Dec11,,06:30,06:50,08:40,12:30,12:29,12:39,02:01,02:11,04:17,06:20,07:00,12:30,01:00
Dec12,,06:30,06:50,08:41,12:30,12:30,12:40,02:01,02:11,04:17,06:20,07:00,12:30,01:00
Dec13,,06:31,06:51,08:42,12:30,12:30,12:40,02:01,02:11,04:17,06:20,07:00,12:30,01:00
Dec14,,06:32,06:52,08:43,12:30,12:31,12:41,02:01,02:11,04:17,06:20,07:00,12:30,01:00
Dec15,,06:33,06:53,08:44,12:30,12:31,12:41,02:01,02:11,04:17,06:20,07:00,12:30,01:00
Dec16,,06:34,06:54,08:45,12:30,12:32,12:42,02:01,02:11,04:17,06:21,07:00,12:30,01:00
Dec17,,06:34,06:54,08:46,12:30,12:32,12:42,02:02,02:12,04:17,06:21,07:00,12:30,01:00
Dec18,,06:35,06:55,08:46,12:30,12:33,12:43,02:02,02:12,04:18,06:21,07:00,12:30,01:00
Dec19,,06:35,06:55,08:47,12:30,12:33,12:43,02:02,02:12,04:18,06:22,07:00,12:30,01:00
Dec20,,06:36,06:56,08:48,12:30,12:33,12:43,02:03,02:13,04:18,06:22,07:00,12:30,01:00
Dec21,,06:37,06:57,08:48,12:30,12:34,12:44,02:03,02:13,04:19,06:22,07:00,12:30,01:00
Dec22,,06:37,06:57,08:49,12:30,12:34,12:44,02:03,02:13,04:19,06:23,07:00,12:30,01:00
Dec23,,06:37,06:57,08:49,12:30,12:35,12:45,02:04,02:14,04:20,06:23,07:00,12:30,01:00
Dec24,,06:38,06:58,08:49,12:30,12:35,12:45,02:05,02:15,04:21,06:24,07:00,12:30,01:00
Dec25,,06:38,06:58,08:50,12:30,12:36,12:46,02:05,02:15,04:21,06:24,07:00,12:30,01:00
Dec26,,06:38,06:58,08:50,12:30,12:36,12:46,02:06,02:16,04:22,06:25,07:00,12:30,01:00
Dec27,,06:39,06:59,08:50,12:30,12:37,12:47,02:06,02:16,04:22,06:26,07:00,12:30,01:00
Dec28,,06:39,06:59,08:50,12:30,12:37,12:47,02:07,02:17,04:23,06:26,07:00,12:30,01:00
Dec29,,06:39,06:59,08:50,12:30,12:38,12:48,02:08,02:18,04:24,06:27,07:00,12:30,01:00
Dec30,,06:39,06:59,08:50,12:30,12:38,12:48,02:09,02:19,04:25,06:28,07:00,12:30,01:00
Dec31,,06:39,06:59,08:50,12:30,12:39,12:49,02:10,02:20,04:26,06:29,07:00,12:30,01:00
